DATE,MABMM301USQ657S
2006-04-01,1.0679093487779
2006-07-01,1.44583143864385
2006-10-01,1.66621681543886
2007-01-01,1.42557115292536
2007-04-01,1.68879124988314
2007-07-01,1.57203072354783
2007-10-01,1.05578509591668
2008-01-01,1.88844007774086
2008-04-01,1.70092693925448
2008-07-01,1.23512811537085
2008-10-01,3.19358295162026
2009-01-01,3.19734251154171
2009-04-01,1.19457550478833
2009-07-01,0.357311213313215
2009-10-01,0.527348298551761
2010-01-01,0.00824567396603665
2010-04-01,1.03690616411464
2010-07-01,0.9866286367116
2010-10-01,1.2821302139449
2011-01-01,1.26248043402277
2011-04-01,2.16819554655109
2011-07-01,4.11693853419217
2011-10-01,1.7010845604444
2012-01-01,1.78534271089101
2012-04-01,1.57651211600839
2012-07-01,1.88378622246523
